,timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience
25073,2021-05-06 06:18:51,25-34,Nonprofits,"Senior Associate, Consulting Services",,75000,7500.0,USD,,,USA,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White,82500.0,2
25075,2021-05-06 06:20:55,35-44,Government and Public Administration,Project Manager,,21000,0.0,EUR,,,Italy,,Milan,11 - 20 years,5-7 years,Master's degree,Woman,White,25337.562695385783,5
25076,2021-05-06 06:28:12,55-64,Government and Public Administration,Contact Representative,IRS call center,60112,0.0,USD,,,USA,,Denver,31 - 40 years,11 - 20 years,College degree,Woman,White,60112.0,11
25077,2021-05-06 06:28:17,55-64,Education (Primary/Secondary),"Teaching Assistant, Special Education",,35200,0.0,USD,,,United States,Illinois,Hoffman Estates (suburb of Chicago),31 - 40 years,11 - 20 years,College degree,Woman,White,35200.0,11
25078,2021-05-06 06:30:58,45-54,Nonprofits,Membership specialist,Recruiter,40000,0.0,USD,,,USA,New Hampshire,Bedford,5-7 years,2 - 4 years,Some college,Woman,White,40000.0,2
25079,2021-05-06 06:31:17,35-44,Government and Public Administration,Assistant Director,Budget and Debt Management,130000,0.0,USD,,,U.S.,Texas,Houston,11 - 20 years,8 - 10 years,Master's degree,Woman,Asian or Asian American,130000.0,8
25081,2021-05-06 06:38:09,35-44,Computing or Tech,Senior Systems Engineer,,80000,0.0,USD,,,US,Wisconsin,Marshfield,11 - 20 years,11 - 20 years,College degree,Man,White,80000.0,11
25083,2021-05-06 06:51:42,25-34,Health care,Administrative Assistant,Clinic at a University,35568,0.0,USD,,,USA,Maine,Portland,5-7 years,2 - 4 years,College degree,Woman,White,35568.0,2
25084,2021-05-06 06:53:17,35-44,Computing or Tech,Consultant,FAANG,120000,50000.0,GBP,,,UK,,London,8 - 10 years,5-7 years,PhD,Man,White,236222.6607008865,5
25086,2021-05-06 07:02:55,35-44,Government and Public Administration,Deputy Budget Director,,92000,0.0,USD,,,US,Massachusetts,Boston,11 - 20 years,5-7 years,Master's degree,Woman,White,92000.0,5
25088,2021-05-06 07:09:34,25-34,Government and Public Administration,Executive Officer,,126000,5000.0,USD,,,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Man,White,131000.0,11
25089,2021-05-06 07:11:47,25-34,Business or Consulting,Business Consultant,,34000,0.0,USD,,,Jordan,,Amman,5-7 years,5-7 years,College degree,Woman,White,34000.0,5
25090,2021-05-06 07:15:08,25-34,Nonprofits,Campus Organizer,I organize college students around a variety of issues areas and run an internship program,35000,0.0,USD,,,US,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,"White, Another option not listed here or prefer not to answer",35000.0,2
25091,2021-05-06 07:16:04,35-44,Education (Higher Education),Assistant Director,,56000,0.0,USD,,,United States,Michigan,Rochester Hills,8 - 10 years,8 - 10 years,Master's degree,Woman,White,56000.0,8
25092,2021-05-06 07:20:10,35-44,"Accounting, Banking & Finance",Senior Analyst,,109200,10000.0,USD,,,United States,New York,New York,11 - 20 years,5-7 years,Master's degree,Woman,Black or African American,119200.0,5
25095,2021-05-06 07:24:14,25-34,Engineering or Manufacturing,Planner,,70000,0.0,USD,,,USA,Maryland,Baltimore,5-7 years,5-7 years,College degree,Woman,White,70000.0,5
25097,2021-05-06 07:29:44,45-54,Education (Higher Education),Career Advisor,,71000,0.0,CAD,,,Canada,,Toronto,8 - 10 years,8 - 10 years,PhD,Woman,White,58410.0136152919,8
25099,2021-05-06 07:31:42,35-44,Nonprofits,Executive Director,,50000,0.0,USD,,,USA,North Carolina,Hendersonville,11 - 20 years,11 - 20 years,Master's degree,Woman,White,50000.0,11
25100,2021-05-06 07:35:26,35-44,"Marketing, Advertising & PR",Brand Manager,,125000,15000.0,USD,,,United States,New Jersey,East Hanover,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,140000.0,5
25101,2021-05-06 07:38:57,25-34,"Marketing, Advertising & PR",Coordinator,,62000,0.0,USD,,,United States,New York,NYC,8 - 10 years,8 - 10 years,College degree,Woman,Black or African American,62000.0,8
25102,2021-05-06 07:39:29,25-34,Health care,Community Outreach Director,,90000,10000.0,USD,,,United States,Texas,Fort Worth,11 - 20 years,11 - 20 years,Master's degree,Woman,White,100000.0,11
25103,2021-05-06 07:44:27,25-34,Health care,Operations Manager,,100000,0.0,USD,,,USA,Minnesota,Rochester,8 - 10 years,8 - 10 years,Master's degree,Woman,White,100000.0,8
25104,2021-05-06 07:44:27,45-54,Law,Firm Administrator,"Small firm - 2 attorneys, 4 support staff",52000,2500.0,USD,,Additional compensation represents occasional bonuses,USA,Tennessee,Chattanooga,21 - 30 years,21 - 30 years,Master's degree,Woman,White,54500.0,21
25106,2021-05-06 07:47:47,45-54,"Accounting, Banking & Finance",Senior Tax Accountant,Public Practice,77500,2000.0,CAD,,,Canada,,"Ottawa, Ontario",11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,White,65402.76172416488,8
25107,2021-05-06 07:50:00,25-34,Computing or Tech,Software Engineering Instructor,,70000,8000.0,USD,,,USA,Pennsylvania,Pittsburgh,5-7 years,1 year or less,PhD,Woman,White,78000.0,1
25109,2021-05-06 07:52:12,35-44,Government and Public Administration,Human Resources Business Partner,,86569,0.0,USD,,,US,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Woman,"Black or African American, White",86569.0,11
25110,2021-05-06 07:59:23,55-64,Education (Higher Education),Lab Manager,Immunology research,100000,0.0,USD,,,USA,Maryland,Baltimore,31 - 40 years,31 - 40 years,Master's degree,Woman,White,100000.0,31
25115,2021-05-06 08:05:53,35-44,"Marketing, Advertising & PR",Senior Community Manager,Video games,65000,0.0,CAD,,,Canada,,"Montreal, QC",31 - 40 years,21 - 30 years,College degree,Woman,White,53473.95612667569,21
25116,2021-05-06 08:07:41,25-34,Education (Higher Education),Coordinator,,53000,1000.0,USD,,,United States,Illinois,Chicago,8 - 10 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White",54000.0,2
25117,2021-05-06 08:08:53,45-54,Business or Consulting,Director of Evay,,125000,5000.0,USD,,,United States,Massachusetts,Boston,21 - 30 years,5-7 years,PhD,Woman,White,130000.0,5
25118,2021-05-06 08:10:49,25-34,Health care,Operations Lead,,37050,0.0,GBP,,,"England, UK",,London,11 - 20 years,2 - 4 years,College degree,Woman,Black or African American,51482.644582163804,2
25119,2021-05-06 08:11:59,25-34,Engineering or Manufacturing,Project Manager and Customer Service Manager,,88000,8000.0,USD,,,United States,Pennsylvania,Lansdale,5-7 years,5-7 years,College degree,Woman,White,96000.0,5
25121,2021-05-06 08:20:55,25-34,Education (Primary/Secondary),High School Teacher,,50500,0.0,USD,,,USA,Florida,Tampa,5-7 years,5-7 years,Master's degree,Woman,White,50500.0,5
25122,2021-05-06 08:24:57,35-44,Nonprofits,Assistant Director,,55000,0.0,USD,,,United States,New York,Kingston,11 - 20 years,2 - 4 years,Master's degree,Woman,White,55000.0,2
25124,2021-05-06 08:26:30,55-64,Engineering or Manufacturing,Facilities Manager,,101000,20000.0,CAD,,,Canada,,Hamilton,31 - 40 years,5-7 years,Master's degree,Woman,White,99543.82602042703,5
25125,2021-05-06 08:27:09,45-54,Nonprofits,Development Officer,,82000,0.0,USD,,"bonuses range from $0 (2020) - $10,000 (2019)",United States,Florida,Panhandle of FL,21 - 30 years,21 - 30 years,Master's degree,Woman,White,82000.0,21
25126,2021-05-06 08:27:15,55-64,Education (Higher Education),Copyeditor,,53000,200.0,USD,,,United States,Illinois,Champaign-Urbana,31 - 40 years,21 - 30 years,College degree,Woman,White,53200.0,21
25127,2021-05-06 08:27:56,25-34,Education (Higher Education),Academic Advisor,,36000,0.0,USD,,,United States,Ohio,Toledo,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",36000.0,2
25128,2021-05-06 08:29:45,25-34,Engineering or Manufacturing,Supply Chain Buyer/Planner,Production scheduler,60000,6000.0,USD,,,United States,North Carolina,Charlotte,5-7 years,5-7 years,College degree,Woman,White,66000.0,5
25130,2021-05-06 08:34:08,35-44,"Accounting, Banking & Finance",Senior Associate,,140000,6000.0,USD,,,USA,New York,New YorknCity,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American,146000.0,11
25131,2021-05-06 08:34:34,35-44,"Accounting, Banking & Finance",Sr. Credit Analyst,Operations,70000,10000.0,USD,,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White,80000.0,11
25133,2021-05-06 08:39:50,25-34,Education (Higher Education),Director of Admissions,,105000,0.0,USD,,,United States,Illinois,Chicago,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,105000.0,5
25134,2021-05-06 08:40:57,25-34,Nonprofits,Assistant Director of Development,,55000,0.0,USD,,,United States,Maryland,Baltimore,5-7 years,2 - 4 years,College degree,Woman,White,55000.0,2
25135,2021-05-06 08:41:40,35-44,Computing or Tech,Product Owner,"Technically it's ""Product Owner II""",96670,0.0,USD,,"I'm eligible for a 7.5% incentive, which almost never happens.",United States,Texas,Dallas / Fort Worth,11 - 20 years,11 - 20 years,College degree,Man,White,96670.0,11
25136,2021-05-06 08:43:15,25-34,Education (Higher Education),UX Researcher,,68900,0.0,USD,,,United States,Connecticut,New Haven,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",68900.0,2
25137,2021-05-06 08:44:23,25-34,Government and Public Administration,Administrator,,66842,100.0,CAD,,,Canada,,Toronto,5-7 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer,55071.59340049113,5
25138,2021-05-06 08:44:24,35-44,"Accounting, Banking & Finance",Process Improvement Consultant,,83000,0.0,EUR,,,The Netherlands,,Amsterdam,11 - 20 years,5-7 years,Master's degree,Man,White,100143.70017700097,5
25140,2021-05-06 08:47:14,35-44,Health care,RN,,77000,0.0,USD,,,USA,Wisconsin,Milwaukee,21 - 30 years,11 - 20 years,College degree,Woman,White,77000.0,11
25141,2021-05-06 08:47:56,35-44,Government and Public Administration,Senior Analyst,,124332,0.0,USD,,,USA,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White,124332.0,8
25142,2021-05-06 08:50:21,25-34,Computing or Tech,Client Services Associate,,55000,5000.0,USD,,,United States,New York,New York,11 - 20 years,1 year or less,College degree,Woman,White,60000.0,1
25143,2021-05-06 08:50:46,25-34,Engineering or Manufacturing,Program Manager,,99000,0.0,USD,,,United States,Massachusetts,Northampton,8 - 10 years,5-7 years,College degree,Non-binary,White,99000.0,5
25144,2021-05-06 08:52:10,45-54,"Marketing, Advertising & PR",Senior Copywriter,,95000,0.0,USD,,,USA,Michigan,Detroit,21 - 30 years,11 - 20 years,Master's degree,Woman,White,95000.0,11
25145,2021-05-06 08:53:04,55-64,Health care,"Public Health Lab Tech, Lead",Clinical Lab,47627,0.0,USD,,,USA,Maryland,Baltimore,41 years or more,21 - 30 years,College degree,Woman,White,47627.0,21
25146,2021-05-06 08:53:19,25-34,Business or Consulting,Senior Researcher,,26000,0.0,GBP,,,United Kingdom,,Manchester,2 - 4 years,2 - 4 years,Master's degree,Woman,White,36128.171636606174,2
25147,2021-05-06 08:53:21,35-44,Nonprofits,Instructional Designer,,85000,0.0,USD,,,United States,North Carolina,Charlotte,11 - 20 years,5-7 years,College degree,Woman,White,85000.0,5
25148,2021-05-06 08:55:41,35-44,Government and Public Administration,Operations Research Analyst,,142290,3000.0,USD,,,United States,Maryland,Silver Spring,11 - 20 years,8 - 10 years,College degree,Woman,White,145290.0,8
25149,2021-05-06 08:56:16,25-34,Engineering or Manufacturing,Accounting Analyst,,61360,3000.0,USD,,Annual bonus varies,USA,New York,Ronkonkoma,5-7 years,5-7 years,Some college,Woman,Asian or Asian American,64360.0,5
25150,2021-05-06 08:56:54,25-34,Engineering or Manufacturing,"Manager, Process Engineering",I manage a team of 4-5 engineers,98500,10000.0,CAD,,Additional compensation is an at-risk bonus,Canada,,Ottawa,8 - 10 years,8 - 10 years,College degree,Woman,White,89260.37291914326,8
25151,2021-05-06 09:00:00,25-34,Education (Higher Education),Student Services Professional,,40225,0.0,USD,,,USA,Georgia,Athens,8 - 10 years,8 - 10 years,College degree,Woman,White,40225.0,8
25152,2021-05-06 09:00:58,35-44,Government and Public Administration,Environmental Scientist,,82000,0.0,CAD,,,Canada,,Whitehorse,11 - 20 years,2 - 4 years,Master's degree,Woman,White,67459.45234442163,2
25153,2021-05-06 09:02:05,45-54,Computing or Tech,Sr. Director - Customer Success,,179000,25000.0,USD,,,United States,Ohio,Cincinnati,21 - 30 years,8 - 10 years,College degree,Woman,White,204000.0,8
25154,2021-05-06 09:03:13,25-34,"Marketing, Advertising & PR",Account Manager,,65000,4000.0,USD,,,USA,Virginia,Alexandria,2 - 4 years,2 - 4 years,College degree,Woman,White,69000.0,2
25155,2021-05-06 09:04:00,55-64,Computing or Tech,Bid Co-ordinator,,25600,0.0,GBP,,,United Kingdom,,Chippenham,31 - 40 years,11 - 20 years,College degree,Woman,White,35572.35361142762,11
25156,2021-05-06 09:04:15,25-34,Computing or Tech,"Associate Director, Application Support",,99000,9900.0,CAD,,,Canada,,Toronto,8 - 10 years,8 - 10 years,Some college,Woman,White,89589.44341838434,8
25157,2021-05-06 09:04:23,45-54,Nonprofits,Vice President,Focus on strategy and special projects,150000,0.0,USD,,,US,North Carolina,Charlotte,11 - 20 years,11 - 20 years,Master's degree,Woman,White,150000.0,11
25159,2021-05-06 09:06:50,35-44,Law,Associate Attorney,,270000,0.0,USD,,,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,270000.0,8
25160,2021-05-06 09:08:08,35-44,Nonprofits,Program Coordinator,State funded program for older adults,39000,500.0,USD,,Incredibly flexible and family friendly,US,New York,Rochester,11 - 20 years,11 - 20 years,Master's degree,Woman,White,39500.0,11
25161,2021-05-06 09:09:04,35-44,Education (Higher Education),Editor,,50000,2000.0,USD,,,United States,Wisconsin,Madison,11 - 20 years,5-7 years,PhD,Man,White,52000.0,5
25162,2021-05-06 09:12:36,35-44,Computing or Tech,Staff Software Engineer,,193200,30000.0,USD,,Also approx $80k of RSU stock grants each year (that take 4 years to fully vest),United States,New York,Brooklyn,11 - 20 years,11 - 20 years,College degree,Non-binary,White,223200.0,11
25166,2021-05-06 09:14:20,25-34,Business or Consulting,Global Project Manager,,97250,10000.0,USD,,,USA,District of Columbia,Washington,2 - 4 years,2 - 4 years,Master's degree,Woman,White,107250.0,2
25167,2021-05-06 09:16:04,25-34,Government and Public Administration,Team Lead,,142950,2000.0,USD,,,USA,District of Columbia,Washington,8 - 10 years,2 - 4 years,Master's degree,Woman,"Asian or Asian American, White",144950.0,2
25168,2021-05-06 09:17:55,25-34,Computing or Tech,Senior Software Engineer,,145000,13000.0,USD,,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,White,158000.0,8
25169,2021-05-06 09:18:03,35-44,Government and Public Administration,Policy Analyst,,141000,1500.0,USD,,,United States,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,142500.0,11
25170,2021-05-06 09:18:39,35-44,Engineering or Manufacturing,Supervisory Materials Engineer,,119773,2000.0,USD,,,United States,Florida,Jacksonville,11 - 20 years,11 - 20 years,College degree,Woman,White,121773.0,11
25171,2021-05-06 09:20:32,25-34,Engineering or Manufacturing,Engineer,Defense,92000,1000.0,USD,,,USA,New Jersey,Ocean County,5-7 years,5-7 years,Master's degree,Woman,White,93000.0,5
25172,2021-05-06 09:20:41,35-44,"Marketing, Advertising & PR",Lead Marketing Analyst,,115000,0.0,USD,,,United States,Maine,Portland,11 - 20 years,5-7 years,Master's degree,Woman,White,115000.0,5
25174,2021-05-06 09:24:26,35-44,Business or Consulting,Director Marketing Operations,,161000,22000.0,USD,,,United States,Washington,Seattle,11 - 20 years,5-7 years,Master's degree,Man,White,183000.0,5
25176,2021-05-06 09:32:58,45-54,Media & Digital,product manager,strategy,96000,9600.0,USD,,,US,Pennsylvania,Philadelphia,21 - 30 years,11 - 20 years,College degree,Woman,White,105600.0,11
25177,2021-05-06 09:33:16,35-44,Engineering or Manufacturing,System Architect,(Mechanical Engineering),125000,15000.0,USD,,,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,White,140000.0,11
25178,2021-05-06 09:35:32,35-44,Engineering or Manufacturing,Customer Service Specialist,B2B customer support for large scale manufacturing - commercial paper,66000,1500.0,USD,,,US,Illinois,Naperville (Chicago area),11 - 20 years,11 - 20 years,College degree,Woman,White,67500.0,11
25182,2021-05-06 09:40:55,25-34,Education (Higher Education),Executive Assistant to the Vice President for Finance and Administration,,75000,0.0,USD,,Technically 35 hours a week is full time at my institution,USA,Massachusetts,Northampton,11 - 20 years,2 - 4 years,College degree,Woman,White,75000.0,2
25183,2021-05-06 09:42:36,under 18,Law,Records manager,,106000,3200.0,USD,,,USA,Colorado,Denver,41 years or more,1 year or less,Master's degree,Woman,White,109200.0,1
25184,2021-05-06 09:42:37,55-64,Government and Public Administration,"Director, Program Planning & Development",This position is in charge of all transit route planning and capital planning programs-from development to implementation,95000,0.0,USD,,,US,Louisiana,Baton Rouge,21 - 30 years,21 - 30 years,Master's degree,Woman,White,95000.0,21
25185,2021-05-06 09:43:07,25-34,Computing or Tech,Senior Technical Writer,I write product documentation for enterprise cloud software.,93000,10000.0,USD,,,USA,North Carolina,Raleigh,5-7 years,5-7 years,College degree,Non-binary,White,103000.0,5
